Website,Article Title,Article content,Article Link,Date
https://fibrenews.co.uk/category/all-news/,Daisy Communications Strikes Long-Term Partnership with AllPoints Fibre Networks,"Daisy Communications has signed a long-term strategic partnership with AllPoints Fibre Networks (APFN), securing access to a national full-fibre network through APFN’s aquila wholesale platform. With aquila , Daisy can instantly connect to millions of premises via a single, API-first platform—eliminating the complexity of managing multiple fibre networks. As part of the deal, Daisy will also acquire APFN’s B2B direct customer base, previously managed under the Giganet brand. Both companies have confirmed that customers will see no change to their service levels or pricing, while also gaining access to Daisy’s wider product suite and industry-leading support. The partnership takes effect immediately, and customers moving to Daisy have already been informed. Jarlath Finnegan, Group CEO at AllPoints Fibre Networks, said: “The Daisy deal marks another key milestone for APFN. Daisy now has access to the UK’s largest full-fibre wholesale network, benefiting the customers who have supported us along the way. We want to thank them and look forward to continuing that support through Daisy in the years ahead.” Dave McGinn, CEO at Daisy Communications, added: “We’re excited to bring the UK’s largest full-fibre wholesale network to our customers through this partnership. We also welcome the new businesses joining Daisy as part of the deal and look forward to working with them to keep Britain connected.”",https://fibrenews.co.uk/daisy-communications-strikes-long-term-partnership-with-allpoints-fibre-networks/,2025-03-03T09:41:12+00:00
https://fibrenews.co.uk/category/all-news/,Voiceflex Partners with Vorboss to Strengthen Business Connectivity,"Voiceflex has joined forces with Vorboss, London’s leading business ethernet fibre provider, to support partners with connectivity growth in the capital. Reliable connectivity is essential for modern businesses. Without a solid connection to the cloud, operations slow down or stop entirely. Many of Voiceflex’s services run in real-time, making uptime and performance critical. A system is only as strong as its weakest link. Partnering with a specialist fibre provider gives businesses access to high-speed, low-latency internet built for handling data-heavy applications, cloud services, and communication tools. Fibre isn’t just faster than traditional broadband—it’s more stable, scalable, and designed to support growing demands. Paul Taylor, CCO of Voiceflex, said: “We’re really impressed by their uptime stats, but even more so by the money-back service credits. If an outage goes beyond four minutes, an automatic credit is applied at the end of the month. That level of accountability is rare.” For businesses that need dependable, high-quality connectivity, this partnership makes a lot of sense.",https://fibrenews.co.uk/voiceflex-partners-with-vorboss-to-strengthen-business-connectivity/,2025-02-27T11:01:19+00:00
https://fibrenews.co.uk/category/all-news/,Quickline Rolls Out Full Fibre to Hard-to-Reach Homes in Lincolnshire & East Yorkshire,"Thousands of rural homes and businesses across Lincolnshire and the East Riding of Yorkshire are finally getting the broadband speeds they deserve. Quickline is delivering full fibre broadband as part of the government-backed Project Gigabit, bringing next-generation connectivity to communities that have long been left behind. Since securing the contract in summer 2024, Quickline has already connected nearly 850 funded homes and businesses to gigabit-capable broadband. The first areas to benefit include the villages of Ruskington, Ancaster, and Burgh le Marsh in the south of Lincolnshire. But this is just the start. Work is now pushing further north, with North Cave and Gilberdyke in the East Riding of Yorkshire next in line. Holme on Spalding Moor will follow soon after. The rollout is moving fast—just six months after securing the contract, the first homes were live, and four months after breaking ground, residents were able to connect. In total, the contract will bring full fibre to nearly 72,000 properties. On top of that, another 50,000 premises will benefit from Quickline’s separate commercial rollout. This means tens of thousands of people in rural areas will finally have access to reliable, high-speed internet. Dan Hague, Project Delivery Director at Quickline, said: “Bringing high-speed broadband to rural communities is what we do best. From day one, the focus has been on getting results quickly, and connecting over 800 premises in just a few months is a huge milestone. Our teams are working tirelessly to bring reliable broadband to areas that have struggled for too long.” Telecoms Minister Sir Chris Bryant added: “Poor connectivity has been a major challenge for people living and working in rural Lincolnshire and East Yorkshire. Whether it’s remote NHS consultations or simply staying in touch with loved ones, fast broadband is essential. Thanks to this government-funded rollout, thousands of homes and businesses will now have access to the fastest speeds on the market, boosting the local economy and improving everyday life.” Homes and businesses in the rollout areas can now book their installation and get connected. The digital divide is closing—one village at a time.",https://fibrenews.co.uk/quickline-rolls-out-full-fibre-to-hard-to-reach-homes-in-lincolnshire-east-yorkshire/,2025-02-25T23:09:00+00:00
https://fibrenews.co.uk/category/all-news/,"Gigaclear Begins Project Gigabit Build to Connect 9,500 Oxfordshire Premises","Gigaclear has begun work on Project Gigabit in Oxfordshire, aiming to connect around 9,500 homes and businesses to full-fibre broadband. The £25.4m government-funded initiative targets hard-to-reach areas, with Gigaclear installing over 250km of new ducting—50% of which will utilise existing infrastructure. Nathan Rundle, CEO of Gigaclear, said: “Our mission is to bring full-fibre broadband to rural communities, and Project Gigabit is key to making that happen. As an Oxfordshire-based business, we’re committed to improving digital access in the county and delivering fast, reliable connectivity to local residents.” Telecoms Minister Sir Chris Bryant added: “Many communities in Oxfordshire have been excluded from the benefits of fast broadband. Through Project Gigabit, we’re closing those digital gaps and moving closer to our goal of full gigabit coverage by 2030.” Work is now underway, with completion expected by November 2026. Project Gigabit is part of the government’s strategy to ensure no rural community is left behind, delivering the same digital opportunities already available in larger towns and cities.",https://fibrenews.co.uk/gigaclear-begins-project-gigabit-build-to-connect-9500-oxfordshire-premises/,2025-02-18T08:27:45+00:00
https://fibrenews.co.uk/category/all-news/,Freedom Fibre Appoints Lindsey Sutherland as Chief Operations Officer,"Freedom Fibre has appointed Lindsey Sutherland as Chief Operations Officer (COO), effective 4th March 2025. Lindsey brings 30 years of experience in engineering and IT, with a background spanning the military, data systems, and telecoms. His career began with active service in Bosnia and Northern Ireland before founding a data systems business that supported transformation projects in the NHS and military shipbuilding. He later led technology integration at Community Fibre and served as CTO at SaaS VoIP provider Nebula. Lindsey said: “I’m proud to join Freedom Fibre at such a pivotal time. The broadband industry is evolving rapidly, and we must stay ahead to ensure we deliver the best possible service.” Nathan Vautier, CEO of Freedom Fibre, added: “Lindsey’s experience and leadership are a perfect fit for our ambitions. We’re excited to have him on board as we continue to scale.”",https://fibrenews.co.uk/freedom-fibre-appoints-lindsey-sutherland-as-chief-operations-officer/,2025-02-17T08:58:55+00:00
https://fibrenews.co.uk/category/all-news/,"Netomnia Reaches 110,000 Premises in Liverpool","Netomnia, one of the UK’s fastest-growing altnet’s, has achieved a significant milestone in Liverpool by connecting over 110,000 premises with full-fibre broadband. Originally launched in Sefton Park in 2022, the company has since expanded to Stoneycroft and Aintree, providing high-speed, gigabit-capable broadband that is transforming local communities. Zoltan Kovacs, Netomnia’s Managing Director, remarked, “This achievement reflects our team’s dedication to delivering the best full-fibre infrastructure in the UK. We remain focused on empowering communities through improved connectivity.”",https://fibrenews.co.uk/netomnia-reaches-110000-premises-in-liverpool-following-strategic-brsk-merger/,2025-02-11T11:46:03+00:00
https://fibrenews.co.uk/category/all-news/,"Exmouth Goes Gigabit: 12,000 Homes Now Have Access To Superfast Full Fibre","Exmouth’s gigabit capabilities are now at strength, with 12,000 new homes now enjoying Virgin Media’s gigabit broadband – including the blazing-fast Gig2 package that hits speeds up to 2Gbps. This upgrade comes as full fibre rollouts in the area ramp up, powered by nexfibre’s £4.5bn investment to bring FTTH to 5 million homes by 2026. Julie Agnew, MD of Fixed Network Expansion at Virgin Media O2, summed it up: “12,000 more homes in Exmouth can now feel the benefit of Virgin Media’s services – with packages that include everything from next-generation multigigabit broadband to easy-to-use TV streaming and entertainment services. These ultra-reliable full fibre connections come with speeds up to 16 times faster than the local average – providing total peace of mind that whatever you’re doing online, you’ll never be slowed down.” Rajiv Datta, CEO of nexfibre, added: “nexfibre’s multi-million pound investment in Exmouth will enable thousands of households to access the benefits of full fibre broadband, including participating fully in the local economy and connecting with the community. It marks a significant step on our journey to connect 5 million premises by 2026.” Exmouth is clearly embracing the digital future, and with this next-gen network powering the region, residents can look forward to a seamless, high-speed online experience like never before.",https://fibrenews.co.uk/exmouth-goes-gigabit-12000-homes-now-have-access-to-superfast-full-fibre/,2025-02-11T11:28:00+00:00
https://fibrenews.co.uk/category/all-news/,Elevate Wholesale Appoints Will Goodall as Wholesale Director Amid Rapid Growth,"Elevate Wholesale has appointed Will Goodall as Wholesale Director, reinforcing the company’s commitment to its rapidly expanding channel division. Will joined Elevate Wholesale—part of Elevate—less than two years ago as Head of Wholesale, tasked with launching and leading the company’s channel proposition. With nearly two decades of experience in the telecoms industry, he has played a pivotal role in shaping Elevate Wholesale’s unique partner-first approach, driving its growth and market position. Since its launch, Elevate Wholesale has onboarded hundreds of partners, with significant expansion into new territories. The acquisition of Luminet in 2024 further strengthened the business, adding more than 200 partners, with the full integration and rebrand completed in November. Elevate’s channel success has been driven by its proactive partnership ethos, which Will has spearheaded, ensuring strong relationships remain at the heart of the company’s strategy. Andy Tatlock, Chief Revenue Officer at Elevate, said: “Will has been instrumental in the launch and continued success of our wholesale division. His relationship-first approach embodies the values of Elevate Wholesale, and this appointment reflects our commitment to our wholesale partners and their strategic importance to our future.” Commenting on his new role, Will said: “To say this is an honour is an understatement. This appointment is the result of immense collaboration across Elevate Wholesale, ensuring we continue to lead the market with our partner-first approach. I’m excited for the next stage of our growth as we focus on enabling our partners to scale and win every day.” Elevate Wholesale continues its expansion, most recently onboarding new partners in Cardiff as part of the company’s latest HyperCity initiative. In collaboration with Cardiff Council and the Welsh Government, Elevate is building high-speed, resilient connectivity throughout the region. The company remains focused on evolving its channel-specific products and services across connectivity, managed services, and business technology—listening to partner needs and driving innovation to support growth.",https://fibrenews.co.uk/elevate-wholesale-appoints-will-goodall-as-wholesale-director-amid-rapid-growth/,2025-02-12T09:47:32+00:00
https://fibrenews.co.uk/category/all-news/,"FullFibre and Zzoomm Announce Merger, Combining a Footprint of 600,000 Properties Passed","FullFibre and Zzoomm have agreed to merge, creating a new combined footprint of 600,000 properties ready for service and a customer base of over 65,000. This move positions the newly enlarged group as a serious player in the market, with plans for further expansion through mergers and acquisitions. Under the new structure, Zzoomm CEO Matthew Hare will step into the role of Executive Chairman, while FullFibre CEO James Warner will take the reins as Group CEO. Both leadership teams bring years of experience and expertise, setting the stage for ambitious growth and delivering outstanding broadband services to consumers, businesses, and wholesale partners. By combining their complementary networks and operating models, the merged business will have the scale and resources to drive rapid customer acquisition, secure investment for future builds, and improve financial efficiencies. The partnership is also set to enhance wholesale offerings for ISPs, unlocking new revenue streams and strengthening their position in the market. Subject to regulatory approval and final documentation, the merger is expected to complete in early 2025. We first herd rumours of the merger, thanks to Sky , back in November 2024 and it seems those rumours have wrong true! Matthew Hare, CEO of Zzoomm, commented: “Our focus has always been on delivering brilliant broadband and ensuring happy customers. We’ve grown rapidly through organic expansion and have always had our sights set on strategic M&A opportunities in this fragmented market. With the scale and infrastructure of this enlarged business, we’re in an even stronger position to continue our growth journey and consolidate the market further.” James Warner, CEO of FullFibre, added : “This merger is another major milestone in our journey to create a truly national digital backbone. Both companies share a commitment to delivering transformational full fibre connectivity with a focus on customer experience. After successfully integrating Digital Infrastructure and BeFibre into our operations, this next step will further accelerate our ambitions and cement our position as a leading provider in the UK.” This merger marks a significant moment for the UK broadband market, as the combined entity looks to reshape the industry and deliver next-generation connectivity at scale.",https://fibrenews.co.uk/fullfibre-and-zzoomm-announce-merger-creating-a-combination-of-600000-properties-passed/,2025-01-27T14:52:40+00:00
https://fibrenews.co.uk/category/all-news/,"GoFibre Hits 1,000 Customer Milestone in Hawick as Full Fibre Rollout Expands","GoFibre has hit a major milestone in Hawick, with 1,000 customers now benefiting from its ultrafast full fibre broadband. With 6,000 premises ready for connection, residents can enjoy seamless connectivity for remote work, streaming, and large file downloads. Founded in Duns in 2017, GoFibre now covers over 22,000 premises across the Scottish Borders, including Galashiels, Kelso, and Melrose. The company has actively supported local communities, sponsoring events like Melrose 7s and partnering with charities such as Escape Youth Services through its GoFurther Fund. Neil Conaghan, CEO of GoFibre said: “To reach this milestone in our heartland of the Borders is fantastic, with Hawick locals now able to enjoy the benefits of our seamless high speed connection. “We remain committed to adding value to every community that we serve, and we would like to thank all of our customers their continued support.”",https://fibrenews.co.uk/gofibre-hits-1000-customer-milestone-in-hawick-as-full-fibre-rollout-expands/,2025-01-22T07:50:21+00:00
